name,price,onPrescription
ACTINAC PLUS 100/500MG CP B/10,2275,FALSE
ACTINAC PLUS CP B/20,4650,FALSE
ACTISKENAN(MORPHINE) 10MG GELU B/14,12350,FALSE
ACTISKENAN(MORPHINE) 20MG GELU B/14,12000,FALSE
ACTISKENAN(MORPHINE) 30MG GELU B/14,14800,FALSE
ACTISKENAN(MORPHINE) 5MG GELU B/14,8800,FALSE
ACTISOUFRE NAS. AEROSOL 100ML,"5,650",FALSE
ACTIVAROL SOL BUV AMP10ML BT14,4350,FALSE
ACUDROX 250MG SUSP BUV F/60ML,3225,FALSE
ACUILIX 20MG CPR SEC B/28,5200,FALSE
ACULAR COLL 0.5%FL 5ML,2725,FALSE
ACUMOL 100MG CP B/20,3150,FALSE
ACUPAN INJ B/5 AMP,3275,FALSE
ACYCLOVIR DENK 200MG CPR B/25,7550,FALSE
ACYCLOVIR DENK 5% CREME T/7G,4500,FALSE
ADALATE CAPS 10MG BT30,3500,FALSE
ADALATE RETARD 20MG CPR BT30,6750,FALSE
ADENURIC 80MG CP B/28,16625,FALSE
ADEPAL CPR BT 3X21,2725,FALSE
ADEPAL CPR BT21,1000,FALSE
ADIAZINE 500MG COMP B/20,4900,FALSE
ADIONE 10/10MG CP B/30,5250,FALSE
ADIONE10/10MG CP B/10,2200,FALSE
ADNA B.BOUCHE ACTIV MENTHE 250ML,3050,FALSE
ADNA DIABETE GELU B/30,7050,FALSE
ADRENALINE AGUET 1MG IV B/10,18200,FALSE
ADRIDE 2MG CP SEC B/30,2125,FALSE
ADRIDE 4MG CP B/30,3500,FALSE
ADRIDE M CP 2/500MG B/30,4700,FALSE
ADVIL 100MG SIROP 200ML,3150,FALSE
ADVIL 200MG COMP B/30,1300,FALSE
ADVIL 400MG COMP B/20,2150,FALSE
ADVILMED 5% GEL T/100G,3450,FALSE
AERIUS 5MG COMP B/15,5150,FALSE
AERIUS 5MG COMP PELL B/7,2600,FALSE
AERIUS SP SSUC F/60ML +CUIL 5ML,"3,700",FALSE
AETHOXYSKLEROL 2% INJ FL/2ML,20000,FALSE
AFRIDIPINE 10MG GELU B/30,4025,FALSE
AFRIPAN 40MG GELU B/7,1225,FALSE
AFSC KIT CP B/4,3575,FALSE
AGYRAX CPR B/15,2025,FALSE
AIDA CREME ANTITACHE T/ 40G,6200,FALSE
AIGUILLE INSULINE B/100,15500,FALSE
AIGUILLE INSULINE VRAC,150,FALSE
AIRLIX 10MG CP B/15,1850,FALSE
AIRLIX 1MG/ML SOL BUV FL/ 60ML,1575,FALSE
AIRTAL 100MG CPR BT10,3025,FALSE
AIRTAL 100MG CPR BT40,10575,FALSE
AKEROL 5MG CP B/20,3750,FALSE
AKEROL SP F/60ML,3025,FALSE
AKINETON LP 4MG CPR BT30,2975,FALSE
ALBEN 4 % SUSP FL/ 10 ML,1375,FALSE
ALBEN 400 COMP B/1,1225,FALSE
ALBENDAZOLE UBI 400 MG CP BL/1,200,FALSE
ALBUMINE HUMAINE 20% FL/ 100ML,90000,FALSE
ALBUPLAST 5MX18 CM,4000,FALSE
ALBUPLAST SPARADRA PERF 1/2M,500,FALSE
ALBUPLAST SPARADRA PERF 1M,1000,FALSE
ALCER 40MG CP B/30,4625,FALSE
ALCOOL 50° 5L,10000,FALSE
ALCOOL 70° F/1L,2000,FALSE
ALCOOL 70° F/250 ML,500,FALSE
ALCOOL 70° F/500 ML,1000,FALSE
ALCOOL 90° F/1L,2500,FALSE
ALCOOL 90° F/250ML,700,FALSE
ALCOOL 90° F/500ML,1500,FALSE
ALCOOL 95° F/1L,2500,FALSE
ALCOOL 95° F/250ML,800,FALSE
ALCOOL 95° F/500 ML,1500,FALSE
ALDACTAZINE 25/15MG CP PL/2X15,4800,FALSE
ALDACTAZINE CP B/90,14300,FALSE
ALDACTONE 25 MG CP PL/ 15X2,4800,FALSE
ALDACTONE 25MG B/30,7050,FALSE
ALDACTONE 25MG COMP B/ 90,14300,FALSE
ALDACTONE 50MG COMP B/ 30,8900,FALSE
ALDACTONE 50MG CPR BT20,4450,FALSE
ALDACTONE 75MG CP B/90,17000,FALSE
ALDACTONE 75MG CP PL/ 2X15,5800,FALSE
ALDACTONE 75MG CPR BT20,6630,FALSE
ALDOMET CPR 250MG BT30,3025,FALSE
ALDOMET CPR 500MG BT30,5450,FALSE
ALEPSAL 100MG COMP B/30,2325,FALSE
ALEPSAL 50MG COMP B/30,1400,FALSE
ALERCHEK CY F/5ML,3575,FALSE
ALEVO 500MG CP B/5,3000,FALSE
ALEX GEL LUBRIFIANT 50ML,2900,FALSE
ALEX GEL LUBRIFIANT B/4,500,FALSE
ALFAMOX 1G SACH B/14,3975,FALSE
ALFAMOX 500MG SACH B/14,2850,FALSE
ALFENAC 100MG B/10,2075,FALSE
ALFER COMP B/30,2500,FALSE
ALFER SUSP FL/200ML,"2,925",FALSE
ALFUZOSINE LP 10MG CP B/ 30,9975,FALSE
ALGESAL BAUME T/40G,2550,FALSE
ALGESAL SURACTIVE BAUME TB 40G,2550,FALSE
ALGESIC 1000MG CP B/8,800,FALSE
ALGESIC XTRA 500/65MG CP B/16,1000,FALSE
ALGISEDAL B/16 CP,1575,FALSE
ALGOFENE SP 150ML,2250,FALSE
ALIBI PASTILLE B/18,2850,FALSE
ALIDENT BB ANTIPLAQUE FL/ 250ML,4575,FALSE
ALIDENT BB HALITOSE&GINGIVITE FL/ 250ML,5500,FALSE
ALIDENT BB HALITOSE&TABAGISME FL/ 250ML,5500,FALSE
ALIDENT BB PROTHESE DENTAIRE FL/250ML,4600,FALSE
ALKOCORTENE VIOF CREME T/15 G,3750,FALSE
ALLERCET 10MG CP B/10,1975,FALSE
ALLERCET 5MG SP F/100ML,1325,FALSE
"ALLERGIFLASH 0,05% CY B/ 10",4825,FALSE
ALLERGINE 10MG COMP B/ 15,3625,FALSE
ALLERGODIL COLLYRE F/ 60ML,4625,FALSE
ALLERGODIL SPRAY NAS FL/ 10ML,4475,FALSE
ALLERGOSONE GTTE BUV F/ 30ml,3325,FALSE
ALLOPURINOL ARW 100MG CP B/28,"1,100",FALSE
ALMA 1ER AGE 400G,3150,FALSE
ALMAX FORTE SCH PDRE B/ 30,4600,FALSE
ALMAX S.BUV FL/225 ML,3250,FALSE
ALOFACT 100/500MG CP B/20,3500,FALSE
ALOX CP B/40,2050,FALSE
ALOX SUSP BUVF/200ML,2175,FALSE
"ALPHAGAN 0,2% CY FL/5ML",6250,FALSE
ALPHAVIT SP FL/120ML,3200,FALSE
ALRAT 5MG CPR B/15,2325,FALSE
ALRAT SP F/60ML,2125,FALSE
ALTRAFLAM 100 MG CP B/10,2900,FALSE
ALUCONE SUSP BUV F/ 200ML,2375,FALSE
"ALUPHO 10,4G SACH B/20",4150,FALSE
ALVIR 200 CPR DISP B/30,6925,FALSE
ALVIR CREME 5% T/5g,2900,FALSE
ALVITYL APPETIT SP F/ 100ML,6000,FALSE
ALVITYL PLUS CP B/40,4500,FALSE
ALVITYL SP AER NF F/150ML,4850,FALSE
ALVITYL TONUS CP B/20,4975,FALSE
ALWAYS NORMAL ULTRA FRESH P/8,775,FALSE
ALZOL 400MG CP B/1,950,FALSE
ALZOL 400MG SP F/10ML,1450,FALSE
ALZOLE 20MG GELU B/14,2500,FALSE
AMADAY 10 COMP B/30,6325,FALSE
AMADAY 5MG COMP B/30,3950,FALSE
AMALAR SUSPENSION 10ML,1800,FALSE
AMAPINE 10MG B/30,5025,FALSE
AMAPINE 5MG CP B/10,2750,FALSE
AMAPINE H 5/12.5,5200,FALSE
AMAREL 1MG CPR BT30,"3,550",FALSE
AMAREL 2MG CPR BT30,5300,FALSE
AMAREL 3MG CPR BT30,6900,FALSE
AMAREL 4MG CPR BT30,11100,FALSE
AMARYL M 2MG/500MG B/30,6825,FALSE
AMARYL M SR 2MG/500MG CPR B/30,5825,FALSE
AMBROX-DENK 60 T/10,2325,FALSE
AMBROX-DENK 60 T/20,3600,FALSE
AMCARD 10MG CP B/28,6500,FALSE
AMCARD 5 MGCP B/28,3250,FALSE
AMEP 10MG B/28,6350,FALSE
AMEP 10MG CP B/14,3550,FALSE
AMEP 5MG B/14,2250,FALSE
AMEP 5MG COMP B/28,3875,FALSE
AMFOCIN 1G SCHT B/12,5400,FALSE
AMFOCIN 500MG SP F/60ML,3675,FALSE
AMICOZ 2%CREM T/15G,1200,FALSE
AMIDERM CREM T/30G,1875,FALSE
AMIFER FORTE CP B/30,3400,FALSE
AMIFER SP FL 200 ML,3825,FALSE
AMIKACINE 500MG AMP INJ B/1,3300,FALSE
AMIKACINE DAKOTA 500 mg INJB/1,3225,FALSE
AMILIP 10MG COMP B/30,6050,FALSE
AMILIP 5MG COMP B/30,4550,FALSE
AMILO 5MG COMP B/14,2100,FALSE
AMILO 5MG COMP B/28,3675,FALSE
AMINO PEP FORTE SP F/ 200ML,4750,FALSE
AMITRON 250MG SUSP BUV F/60ML,1175,FALSE
AMITRON 500MG GEL B/12,1175,FALSE
AMLIBON 10MG CP B/30,5250,FALSE
AMLIBON 5MG CP B/30,"3,275",FALSE
AMLO DENK 10 MG CP B/50,9250,FALSE
AMLO DENK 5 MG CP PL/10,1550,FALSE
AMLO DENK 5MG COMP B/50,7575,FALSE
AMLO VH 10/12.5/160MG CP B/20,13800,FALSE
AMLODIPINE 5MG B/30,5750,FALSE
AMLODIPINE GP 10MG B/60,5575,FALSE
AMLODIPINE PFIZER 5MG GEL B/30,5825,FALSE
AMLODIPINE VIR 10MG CP B/ 30,3375,FALSE
AMLONG 10MG COMP B/30,6925,FALSE
AMLONG 5MG COMP B/30,4050,FALSE
AMLOPERIN 10MG/10MG CP B/30,11475,FALSE
AMLOPERIN 10MG/5MG CP B/30,10350,FALSE
AMLOPERIN 5/10 CP B/30,8025,FALSE
AMLOPERIN 5/5 CP B/30,8050,FALSE
AMLOR 10MG GELU B/30,13275,FALSE
AMLOR 5 MG GELU B/30,10600,FALSE
AMLOSARTAN 5/50MG CP PEL B/30,5500,FALSE
AMLOSTAR 10 MG CP B/30,5775,FALSE
AMLOSTAR 5MG COMP B/30,4625,FALSE
AMLOSTAR PLUS 5/50 MG CP B/30,5750,FALSE
AMLOTENSINE 10 MG CP B/ 20,3925,FALSE
AMLOTENSINE 5 COMP B/30,3800,FALSE
AMOCLAN 10012.5MG SUSP F/60ML,2650,FALSE
AMOCLAN 500MG SACH B/12,4075,FALSE
AMOCLAN BID 1G SACH B/12,"3,975",FALSE
AMOCLAN FORT 312MG SUSP 100ML,3725,FALSE
AMODEX 250MG PDR P SP FL,1600,FALSE
AMODEX 500MG GELU BT12,1225,FALSE
AMOXI 250MG SP AFRI F/ 60ML,600,FALSE
AMOXI 500MG GELU B/100,5000,FALSE
AMOXI DENK 1000 CP B/10,2575,FALSE
AMOXI DENK 500MG COMP B/20,2575,FALSE
AMOXICILLINE 500MG GELLULE PL/10,500,FALSE
AMOXICLAV DENK 1G SACH B/12,5725,FALSE
AMOXICLAV DENK 1G SACH B/8,3975,FALSE
AMOXICLAV DENK CP 500/62.5MG B/16,3975,FALSE
AMPHOCYCLINE COMP GYN BT12,1425,FALSE
AMPICILLINE 1G INJ B/10,6000,FALSE
AMPICILLINE 1G INJ VRAC,600,FALSE
AMTIBA 50MG CP B/4,825,FALSE
AMUCHINA 5 LIQ ANTISEP F/ 250ML,2500,FALSE
AMUSTILL CREME T/30G,2525,FALSE
AMVA DENK 10/160MG B/28,10375,FALSE
AMZVAL 10/160/12.5MG CP B/ 30,9225,FALSE
AMZVAL 10/160/25MG CP B/ 30,9225,FALSE
ANAFRANIL DRG 10MG BT60,2025,FALSE
ANAFRANIL DRG 25MG BT50,4300,FALSE
ANAFRANIL FORT CPR 75MG ET20,4200,FALSE
ANALGIN 500MG CPR B/20,750,FALSE
ANAXERYL POM TB38G5,"2,300",FALSE
ANDOL 1G CP EFF B/8,950,FALSE
ANDOL 500MG CP B/20,650,FALSE
ANDROCUR 50MG CP B/20,12800,FALSE
ANDROTARDYL 250MG INJ B/ 1,6450,FALSE
ANGINOVAG AERO 10ML,2400,FALSE
ANGISPRAY COLLUT.,9150,FALSE
ANGIZAAR H CP B/30,4250,FALSE
ANNEAU DENTIT.REFRIGER.LUC&LEA,2500,FALSE
ANNEAU DENTITION CLE DES CHAMPS B/1,3825,FALSE
ANNEAU DENTITION MIRADENT,2500,FALSE
ANOMEX SUPPO B/10,4700,FALSE
ANTADYS CPR BT15,2650,FALSE
ANTALGEX GELULES B/20,1825,FALSE
ANTARENE COD 200/30MG CP B/20,2900,FALSE
ANTARENE COD 400/60MG CP B/10,2900,FALSE
ANTIBIOSYNALAR GTT AURIC 10ML,1700,FALSE
ANTICID PLUS SP FL/200ML,2000,FALSE
ANTIDOL 500MG COMP B/20,575,FALSE
ANTIFLAM T3A POT TABS 25MG,900,FALSE
ANTIFLAM T3A POT TABS 50MG,1600,FALSE
ANTIGRIPPINE VIT C COMP B/12,1575,FALSE
ANTIHEMORHOIDAIRE CR T/ 30GR CEN,2975,FALSE
ANUSOL POM TB 33G,2950,FALSE
ANUSOL SUP BT24,3625,FALSE
ANY POMMADE 8%,"11,700",FALSE
APAMOX 250MG SP F/60ML,800,FALSE
APAR SOL AEROSOL,5575,FALSE
APAZIDE 4% SUSP F/100ML,1900,FALSE
APAZIDE200 MG GELU B/16,1450,FALSE
APDROPS COLLYRE FL/3ML,2625,FALSE
APDYL H SP F/100ML,1825,FALSE
APEXIME 250MG CP B/6,3416,FALSE
APEXIME 500 MG CP B/3,4600,FALSE
APEXIME SUSP FL/15ML,3000,FALSE
APFER SP 100ML,1300,FALSE
APFER SP 200ML,1675,FALSE
APFLU PDRE EFF SCHT B/ 10,2375,FALSE
APIFEN 400MG COMP B/30,1725,FALSE
APOTEL PLUS 600/20MG INJ B/3,4025,FALSE
APPETINE VIT SP F/100ML,2625,FALSE
APPETINE VIT SP F/200ML,2625,FALSE
APRAMOL 500 MG CP EFF 2*8,1125,FALSE
APRAMOL 500MG CPR B/20,725,FALSE
APRANAX 550MG COMP B/10,2625,FALSE
APRANAX 750 MG CP B/15,9400,FALSE
APREPITANT 125/80MG CAPS,33750,FALSE
APROVASC 150/10MG COMP B/28,18300,FALSE
APROVASC 300/10MG CPR B/ 28,18300,FALSE
APROVASC 300/5MG B/28,17250,FALSE
APROVEL 150 MG CP B/28,15600,FALSE
APROVEL 300 MG CP B/28,16500,FALSE
APTAMIL 1 B/400GR,4400,FALSE
APTAMIL 2 HA B/400G,4900,FALSE
APTAMIL PEPTI JUNIOR B/ 400GR,"5,325",FALSE
APTITONUS 200ML SP,3975,FALSE
APVIT FORCE SP FL/100ML,1125,FALSE
AQUANATE 60MG INJ B/1,1450,FALSE
ARBITEL 40MG CPR B/30,5200,FALSE
ARBITEL 80 MG CP B/30,4925,FALSE
ARBITEL AV CP B/30,5750,FALSE
ARBITEL H 40MG/125MG B/ 30,5300,FALSE
ARBITEL H 80 MG CP B/30,7250,FALSE
ARCALION 200MG COMP BT20,3625,FALSE
ARCO 125/50MG COMP B/8,3825,FALSE
ARCOXIA 120MG CP B/7,5650,FALSE
ARCOXIA 60MG CP B/7,4475,FALSE
ARCOXIA 90MG COMP B/14,10825,FALSE
ARCOXIA 90MG CP B/7,5600,FALSE
AREMIC CP B/7,3250,FALSE
ARENAX 100 /300 MG CP B/6,2875,FALSE
ARGILE BLANCHE SURF PDR B/200G,2925,FALSE
ARGILE VERTE BIO PDRE SACH/250G,2225,FALSE
ARGILE VERTE BIO PDRE SACH/500GRS,3800,FALSE
ARGILE VERTE LAINO SURFINE 300G,3150,FALSE
ARGILE VERTE VENTILE CATTIER,3100,FALSE
ARGININE VEYRON AMP BUV 5ML 20,3200,FALSE
ARGININE VEYRON SOL BUV 250ML,5925,FALSE
ARGINOTRI B DRG FL24,3100,FALSE
ARGYROL 1%FL/10ML,1100,FALSE
ARKOPHARM SPIRULINE GELU B/45,"7,900",FALSE
ARLUCIN 80/480MG CP B/6,1200,FALSE
ARLUMEB 80/480MG CP B/6,2250,FALSE
ARNICAN CREM TB50G,2175,FALSE
ARO SUCRETTES COMP B/ 1200,4000,FALSE
ARPHOS B12 10ML AMP BUV BT20,4750,FALSE
ARSIQUINOFORME 250 MG CPR B/15,2525,FALSE
ARSUAMOON 50/150 COMP B/24,2825,FALSE
ARTANE CPR 2MG BT50,2025,FALSE
ARTANE CPR 5MG BT20,4500,FALSE
ARTECOM COMP PELL B/8,4025,FALSE
ARTECOM DISP CP B/12,4025,FALSE
ARTECOM SP F/60ML,3275,FALSE
ARTEDIAM SP FL/30ML,2700,FALSE
ARTEFAN 180/1080MG SP B/ 60ML,3300,FALSE
ARTEFAN 20/120 MG SUSP F/ 30ML,1225,FALSE
ARTEFAN 20/120MG CP DISP B/6,1200,FALSE
ARTEFAN 40/240MG CP B/6,1750,FALSE
ARTEFAN 40/240MG CP DISPER B/6,1475,FALSE
ARTEFAN 40/240MG SUSP F/ 30ML,1800,FALSE
ARTEFAN 60/360 CP B/6,2350,FALSE
ARTEFAN 80/480 COMP B/6,2900,FALSE
ARTEFAN 80/480MG SP F/ 30ML,2950,FALSE
ARTELAC COLYRE 10ML,3000,FALSE
ARTELU SUSP 180/1080MG FL/50ML,2000,FALSE
ARTEM 40 MG INJ B/6,"3,025",FALSE
ARTEM 80MG/ML INJ B/6,4950,FALSE
ARTEMESIA AFFRA SCHT/ 25G,2500,FALSE
ARTEMESIA ANNUA INFUSETTE /10,2500,FALSE
ARTEMETER UBI 80MG INJ B/ 10,8225,FALSE
ARTEMETHER TM 80MG INJ B/6,4200,FALSE
ARTEQUIN 300/375 COMP B/6,2875,FALSE
ARTEQUIN AD 600/750 LACTAB B/6,3800,FALSE
ARTESIANE 20MG INJ B/10,5600,FALSE
ARTESIANE 20MG INJEC B/3,2600,FALSE
ARTESIANE 40 MG INJ AMP B/10,7475,FALSE
ARTESIANE 40MG SUPPOGEL B/6,2900,FALSE
ARTESIANE 80MG AMP INJ B/ 5,5275,FALSE
ARTESIANE SUPPOGEL 160MG,6250,FALSE
ARTESUN 120MG IM IV INJ B/ 1,2650,FALSE
ARTESUN 30MG IV S.INJ B/1,875,FALSE
ARTESUN 60 MG SOL INJ B/1,1350,FALSE
ARTHRITEX GELU B/60,9625,FALSE
ARTHRODONT PATE GINGIV T/75ML,4950,FALSE
ARTHRODONT PATE GINGIVALE T/42GR,2900,FALSE
ARTIMED 50MG COMP B/10,1150,FALSE
ARTIZ 180/1080 SP FL/60ML,2900,FALSE
ARTIZ DP 80/480 CP B/6,2325,FALSE
ARTIZ FORTE 40MG/240MG CPR B/12,"2,900",FALSE
ARTOME TM SP F/60ML,2625,FALSE
ARTOTEC 50MG CP B/30,6250,FALSE
ARTOTEC 75MG CP B/20,4750,FALSE
ARTRIM 15/90 MG SUSP BUV F/60 ML,2925,FALSE
ARTRIM 40/240 MG B/12,3450,FALSE
ARTRIM GH 80/480MG CP B/6,2875,FALSE
ARTRIN 20/120 CP B/24,2250,FALSE
ASCABIOL EMULS FL 125ML,3725,FALSE
ASCOFER GELU BT30,2500,FALSE
ASCORTONYL AMP BUV B/ 24 AMP,3900,FALSE
ASMOCET L 5MG CP B/20,2650,FALSE
ASMOCID 40/10MG CP B/20,4300,FALSE
ASMOFLAM,2775,FALSE
ASMOFLOX 200MG CP B/20,4575,FALSE
ASMOFORCE 100MG CP B/4,3525,FALSE
ASMOFORCE 50MG CP B/4,2800,FALSE
ASMOXIME 200 MG CP B/10,5650,FALSE
ASPEGIC 100MG SACH B/20,1250,FALSE
ASPEGIC 1g INJ VRAC B/1,900,FALSE
ASPEGIC 1G SACH B/20,2450,FALSE
ASPEGIC 250MG SACH B/20,1350,FALSE
ASPEGIC 500MG SACH B/20,1650,FALSE
ASPEGIC 500MG VITC SACH B/10,1900,FALSE
ASPI-CARDIO 100MG CP B/30,1000,FALSE
ASPIRINE CARDIO 100 CP B/ 30,1400,FALSE
ASPIRINE RHONE 500 MG CP B/20,4000,FALSE
ASPIRINE UPSA 1000MG CP EFF B/20,2650,FALSE
ASPIRINE UPSA VIT C CPR BT20,"1,250",FALSE
ASPRO 500 CP EFF B/20,1850,FALSE
ASTAPH 250 SP 60 ML,3200,FALSE
ASTAPH 250MG/5ML SUSP BUV F/100ML,4300,FALSE
ASTAPH 500 MG GELU B/12,3475,FALSE
ASTAPH 500MG GELU B/24,4700,FALSE
ASTYMIN FORTE CAPS B/20,2575,FALSE
ASTYMIN SN INJ PERF F/ 200ML,5575,FALSE
ASTYMIN SP FL/110ML,3150,FALSE
ASU DENK FIXED DOSE CP B/3,2900,FALSE
ATACAND 16MG COMP B/28,19575,FALSE
ATACAND 4MG CP SEC B/30,13000,FALSE
ATACAND 8MG CP/30,18100,FALSE
ATARAX 25MG DRAG B/30,2300,FALSE
ATARAX SP 200ML,2200,FALSE
ATENOLOL DENK 50MG CP B/100,7875,FALSE
ATEPADENE 30MG GELU BT30,4650,FALSE
ATMAX 200MG/5ML SP F/ 15ML,3100,FALSE
ATMAX 500 MG CP B/3,4975,FALSE
ATOREX 10MG B/30,3700,FALSE
ATOREX 20MG CP B/30,5475,FALSE
ATORFIT 10MG COMP B/30,5325,FALSE
ATORFIT 20MG COMP B/30,7750,FALSE
ATOVAQUONE/PROGUANIL BGR ENFT CP B/12,11800,FALSE
ATRICAN 250 COMP B / 8,3400,FALSE
ATROPINE 1MG/ML INJ VRAC,800,FALSE
ATROPINE COLLY 1% FL/ 10ML,2825,FALSE
ATROVENT SOL INH NEB AD 0.5MG/ML UNIDOSE /30,"19,450",FALSE
ATSTAT 10MG CP B/30,3250,FALSE
ATSTAT 20MG CP B/30,4200,FALSE
ATTELE DE POGNET-POUCE TAILLE SMALL DROIT,25000,FALSE
ATTELE DE POIGNET - POUCE TAILLE LARGE - GAUCHE,25000,FALSE
ATURGYL NEBUL 15ML,1200,FALSE
AUGMACILLIN 200MG SP F/ 60ML,2475,FALSE
AUGMACILLIN 400MG SP F/ 60ML,4050,FALSE
AUGMENTIN 1G AD SACH B/ 12,6550,FALSE
AUGMENTIN 1g ADULT INJ,3025,FALSE
AUGMENTIN 500 mg IV INJ,1800,FALSE
AUGMENTIN 500MG CP B/16,4575,FALSE
AUGMENTIN SP ENF F/60ML,4175,FALSE
AUGMENTIN SP NN F30ML,2300,FALSE
AUGOCIN 0.3% COLL F/10ML,950,FALSE
AUREOMYCINE 1% PDE OPHT T/5g,500,FALSE
AUREOMYCINE 3% SPECIA PDE DERM T/15G,1250,FALSE
AUREOMYCINE MONOT 3% POM DERM TB/15G,625,FALSE
AUREOMYCINE VALD 3% DERM/15G,600,FALSE
AURICULARUM PDRE ET SOLVANT,5725,FALSE
AUROTHER 40/240 CP B/12,2375,FALSE
AUROTHER 80/480 CP B/6,2400,FALSE
AUROTHRIN 500MG CP B/3,4300,FALSE
AVAMYS SPRAY NAS F/120D,3525,FALSE
AVAS 10MG CP B/30,4400,FALSE
AVAS 20MG B/30 6925AVAS 40MG CP B/30,9125,FALSE
AVAZIR CY FL/10ML,1975,FALSE
AVENE CLEANANCE GEL NETT 200 ML,10975,FALSE
AVENE CLEANANCE MAT LOT MATIFIANTE 200ML,10350,FALSE
AVENE EAU THERM SPR/150 ML,5150,FALSE
AVENE HYDR OPT HYD LEG 40ML,15525,FALSE
AVENE HYDRANCE OPTIMAL UV CR LEGER T40ML,15200,FALSE
AVENT BIBERON PES 330ML B/1,7700,FALSE
AVIBON POM TB30G,6700,FALSE
AVLOCARDYL CPR 40MG BT/ 50,2450,FALSE
AVLOCARDYL LP 160MG GELU 28,6150,FALSE
AXOL PROCTO CR APPLICATEUR T/40ML,3900,FALSE
AZANTAC 150MG COMP EFFE B/30,12400,FALSE
AZANTAC 150MG COMP PELL BT/30,13525,FALSE
AZANTAC 300MG COMP EFF T/14,8100,FALSE
AZANTAC 300MG CPR PELLIC 14,12375,FALSE
AZANTAC 50MG INJ VRAC B/ 1,1000,FALSE
AZANTAC 75MG COMP EFF B/28,6500,FALSE
AZANTAC 75MG COMP EFFER B/14,2500,FALSE
AZANTAC AMP INJ 50MG BT5,"4,650",FALSE
AZARGA 10MG/ML 5MG/ML COLL F/5ML,14425,FALSE
AZBACT 500MG CP B/3,2075,FALSE
AZEE 250MG CP B/6,1225,FALSE
AZIBAC 500MG CP B/3,4675,FALSE
AZIBACT 500MG COMP B/3,4175,FALSE
AZIBIO 500 MG CP PELL B/3,4000,FALSE
AZICURE 200MG SIROP FL/ 15ML,4075,FALSE
AZICURE 500MG COMP B/3,4300,FALSE
AZICURE COMP 250 MG B/6,4300,FALSE
AZIDERM CREME T/15g,3000,FALSE
AZIGLOBE 200MG SP F/15ML,1475,FALSE
AZIGLOBE 500MG CP B/3,2325,FALSE
AZILIN 200MG SP F/30ML,3050,FALSE
AZIMED(AZITHROMYCINE) 500MG CP B/3,1500,FALSE
AZIOCIN 500MG CP B/3,2900,FALSE
AZIS 250MG CP B/6,1225,FALSE
AZITAR 500MG CP B/3,3375,FALSE
AZITHRIN 250 MG CP B/6,2675,FALSE
AZITHRIN 500 MG CP B/3,3225,FALSE
AZITHRIN SUSP 15 ML,2375,FALSE
AZITHRO 100MG PDRE SCHT BUV,1625,FALSE
AZITHRO 200MG PDRE SCHT BUV,2325,FALSE
AZITHRO 500MG GEL B/3,3925,FALSE
AZITHRO ACINO 250MG COMP B/3,3000,FALSE
AZITHRO ACINO 500MG COMP B/3,4550,FALSE
AZITHRO DENK 500MG CP B/ 3,4050,FALSE
AZITHROMYCINE 500MG COMP B/3,4000,FALSE
AZITHROMYCINE PFIZER 250 GELU B/6,"4,000",FALSE
